seccion_id,nombre
1,Adolfo Alsina
2,Alberti
3,Almte. Brown
4,Avellaneda
5,Ayacucho
6,Azul
7,Bahia Blanca
8,Balcarce
9,Baradero
10,Arrecifes
11,Berazategui
12,Berisso
13,Bolivar
14,Bragado
15,Brandsen
16,Campana
17,Cañuelas
18,Cap. Sarmiento
19,Carlos Casares
20,Carlos Tejedor
21,Carmen De Areco
22,Patagones
23,Castelli
24,Colon
25,Cnel. Dorrego
26,Cnel. Pringles
27,Cnel. Rosales
28,Cnel. Suarez
29,Chacabuco
30,Chascomus
31,Chivilcoy
32,Daireaux
33,Dolores
34,Ensenada
35,Escobar
36,Etban. Echeverria
37,Exlt. De La Cruz
38,Florencio Varela
39,Gral. Alvarado
40,Gral. Alvear
41,Gral. Arenales
42,Gral. Belgrano
43,Gral. Guido
44,Gral. La Madrid
45,Gral. Las Heras
46,Gral. Lavalle
47,Gral. Madariaga
48,Gral. Paz
49,Gral. Pinto
50,Gral. Pueyrredon
51,Gral. Rodriguez
52,Gral. San Martin
53,San Miguel
54,Gral. Viamonte
55,Gral. Villegas
56,A.G. Chaves
57,Guamini
58,Yrigoyen
59,Benito Juarez
60,Junin
61,La Matanza
62,Lanus
63,La Plata
64,Laprida
65,Las Flores
66,L.N. Alem
67,Lincoln
68,Loberia
69,Lobos
70,Lm. De Zamora
71,Lujan
72,Magdalena
73,Maipu
74,Mar Chiquita
75,Marcos Paz
76,Mercedes
77,Merlo
78,Monte
79,Moreno
80,Moron
81,Navarro
82,Necochea
83,9 De Julio
84,Olavarria
85,Pehuajo
86,Pellegrini
87,Pergamino
88,Pila
89,Pilar
90,Pinamar
91,Puan
92,Quilmes
93,Ramallo
94,Rauch
95,Rivadavia
96,Rojas
97,Roque Perez
98,Saavedra
99,Saladillo
100,Salliquelo
101,Salto
102,S.A. De Giles
103,S.A. De Areco
104,San Cayetano
105,San Fernando
106,San Isidro
107,San Nicolas
108,San Pedro
109,San Vicente
110,Suipacha
111,Tandil
112,Tapalque
113,Tigre
114,Tornquist
115,Trenque Lauquen
116,Tordillo
117,Tres Arroyos
118,Tres De Febrero
119,La Costa
120,Monte Hermoso
121,25 De Mayo
122,Vicente Lopez
123,Villa Gesell
124,Villarino
125,Zarate
126,Tres Lomas
127,Fl. Ameghino
128,Pte. Peron
129,Jose C. Paz
130,Mlv. Argentinas
131,Punta Indio
132,Ezeiza
133,Ituzaingo
134,Hurlingham
135,Lezama
